sample,true_label,dlg_label,dlg_label_correct,dlg_restarts,dlg_converged,dlg_final_loss,dlg_psnr,dlg_ssim,idlg_label,idlg_label_correct,idlg_restarts,idlg_converged,idlg_final_loss,idlg_psnr,idlg_ssim
0,8,2,False,5,False,0.00830935314297676,15.332099798490583,0.00536622206798275,8,True,5,True,6.037330422259402e-07,19.107436565634735,0.5537920001709511
1,7,7,True,5,False,4.581147193908691,14.614242713813614,0.0031878784665505836,7,True,5,True,7.853515171518666e-07,20.25975572195442,0.6709859393660195
2,1,1,True,1,True,1.084004338736122e-06,21.950911249213604,0.5715142224322666,1,True,1,True,1.358803388029628e-06,22.741268887161482,0.5980435154162163
3,6,6,True,5,True,1.9871854419761803e-06,22.206083761054707,0.6887151547438226,6,True,1,True,1.816631993278861e-06,21.510488559861386,0.6854261539814887
4,0,3,False,1,True,1.7532480342197232e-05,16.544514749770368,0.2494433649113519,0,True,2,True,1.1097564822648565e-07,20.252208301924913,0.5705354748109033
5,3,3,True,5,False,0.4297759234905243,15.407067757621695,0.0059097063731014185,3,True,5,False,267.67791748046875,14.957115466854276,0.007490429935797158
6,1,3,False,5,False,131.59878540039062,15.515892966554706,0.0050367954444113855,1,True,1,True,5.268037170935713e-07,21.083684507700795,0.48427320678895414
7,1,1,True,3,True,2.7013888939109165e-06,25.303653679737486,0.6819852883119352,1,True,5,False,232.15774536132812,15.231952540348875,0.006882761179680949
8,4,4,True,1,True,2.308270950379665e-06,24.536814536201614,0.7776392398109614,4,True,5,True,2.154695494027692e-06,24.644159922818996,0.7755752383954515
9,2,2,True,2,True,2.038026650552638e-06,24.519150168808284,0.7517324920497404,2,True,3,True,2.1061864572402555e-06,24.927790716405514,0.73688764506874
